WFOID,IPNID,scientificName,authorship,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200116998,urn:lsid:ipni.org:names:77376388-1,Melilotus officinalis var. incisus,Lipsky,"Zap. Kievsk. Obshch. Estestvoisp. 11(2): 44. 1891 , as 'incisa'",Fabaceae,,,
wfo-0001445002,urn:lsid:ipni.org:names:77376389-1,Astragalus xiphidium var. distans,Lipsky,Zap. Kievsk. Obshch. Estestvoisp. 11(2): 45. 1891 ,Leguminosae,,,
wfo-1000088154,urn:lsid:ipni.org:names:77376401-1,Astragalus montis-hashtadi,Akhavan & Maassoumi,Phytotaxa 740(1): 99. 2026 [3 Feb 2026] [epublished],Leguminosae,,,
wfo-1200117066,urn:lsid:ipni.org:names:77376438-1,Astragalus maximus var. oblongiceps,Manden,Bot. Mater. Gerb. Bot. Inst. Komarova Akad. Nauk S.S.S.R. 10: 96. 1947 ,Leguminosae,,,
wfo-1000088228,urn:lsid:ipni.org:names:77376628-1,Stylosanthes leticiana,Gama,Phytotaxa 741(2): 145. 2026 [13 Feb 2026] ,Fabaceae,,,
wfo-1000088229,urn:lsid:ipni.org:names:77376629-1,Stylosanthes rosalindae,Gama,Phytotaxa 741(2): 152. 2026 [13 Feb 2026] ,Fabaceae,,,
wfo-1000088230,urn:lsid:ipni.org:names:77376631-1,Stylosanthes gretherae,Gama,"Phytotaxa 741(2): 156. 2026 [13 Feb 2026] , as 'gretheriae'.",Fabaceae,,,
wfo-1000088424,urn:lsid:ipni.org:names:77377214-1,Dussia filibracteolata,"W.Ariza, A.Gonç. & F.Ávila",Phytotaxa 742(4): 290. 2026 [26 Feb 2026] ,Leguminosae,,,
wfo-1000088501,urn:lsid:ipni.org:names:77377261-1,Glycyrrhiza kulabensis,Maslenn.,Trudy Tadzhikistansk. Bazy 8: 620. 1940 ,Leguminosae,,,
