WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200114110,urn:lsid:ipni.org:names:77367191-1,Trichilia dregeana var. oblonga,Sond.,Fl. Cap. (Harvey) 1: 246. 1860 [10-31 May 1860] ,,,
wfo-4100006089,urn:lsid:ipni.org:names:77367392-1,trib. Chukrasieae,Z.H.Feng,Plant 13(3): 151. 2025 [13 Aug 2025] [epublished],,,
wfo-1000083896,urn:lsid:ipni.org:names:77368280-1,Aglaia bracteolata,Pannell,"Thai Forest Bull., Bot. 53(2): 58. 2025 [24 Jul 2025] [epublished]",,,
