WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000085166,urn:lsid:ipni.org:names:77370053-1,Corydalis xideensis,"J.T.Chen, T.Deng & H.Sun",Phytotaxa 721(1): 82. 2025 [3 Oct 2025] [epublished],,,
wfo-1000085167,urn:lsid:ipni.org:names:77370054-1,Corydalis shiyomiensis,"M.Khanal, Lidén & Dev.Kumar",Phytotaxa 721(1): 88. 2025 [3 Oct 2025] [epublished],,,
wfo-1200115092,urn:lsid:ipni.org:names:77370395-1,Corydalis solida subsp. vajdae,Soó,Acta Bot. Acad. Sci. Hung. 10: 372. 1964 ,nom. inval. nom. nud.,,
