WFOID,IPNID,scientificName,authors_t,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200110344,urn:lsid:ipni.org:names:77355606-1,Haloragis masatierrana var. pseudoapplanata,Penneck.,Fl. Vasc. Silvest. Arch. Juan Fernández 543. 2018 [Aug 2018] ,Haloragaceae,,,
wfo-1200110346,urn:lsid:ipni.org:names:77355614-1,Haloragis masatierrana f. rotundato-crenata,Penneck.,Fl. Vasc. Silvest. Arch. Juan Fernández 635. 2018 [Aug 2018] ,Haloragaceae,,,
