WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000083578,urn:lsid:ipni.org:names:77366812-1,Begonia tesselata,Jara & H.Caro,Brittonia 77(3): 359. 2025 [25 Jun 2025] [epublished],,,
wfo-1000086209,urn:lsid:ipni.org:names:77371925-1,Begonia shunzhii,"D.K.Tian, Z.Y.Guo & X.X.Bai",Phytotaxa 728(2): 221. 2025 [12 Nov 2025] [epublished],,,
wfo-1000086232,urn:lsid:ipni.org:names:77372074-1,Begonia jurgenneae,Naive & Buenvenida,Taiwania 70(4): 596. 2025 [08 Aug 2025] [epublished],,,
wfo-1000086248,urn:lsid:ipni.org:names:77372073-1,Begonia mabuhayensis,"F.A.Blasco, Alejandro & Rubite",Taiwania 70(4): 591. 2025 [7 Aug 2025] [epublished],,,
wfo-1000086249,urn:lsid:ipni.org:names:77372076-1,Begonia kuofangii,W.B.Xu & W.G.Wang,Taiwania 70(4): 622. 2025 [2 Sep 2025] [epublished],,,
wfo-1000086250,urn:lsid:ipni.org:names:77372077-1,Begonia wumingensis,"J.Y.Zhou, S.K.Guan & D.K.Tian",Taiwania 70(4): 626. 2025 [3 Sep 2025] [epublished],,,
wfo-1000086257,urn:lsid:ipni.org:names:77372086-1,Begonia lucivenia,"W.G.Wang, R.K.Li & H.C.Xi",Taiwania 70(4): 689. 2025 [17 Oct 2025] [epublished],,,
wfo-1000086277,urn:lsid:ipni.org:names:77372149-1,Begonia fuyangii,"D.K.Tian, W.G.Wang & H.C.Xi",Phytotaxa 730(1): 83. 2025 [18 Nov 2025] [epublished],,,
wfo-1200114899,urn:lsid:ipni.org:names:77369870-1,Begonia nhatii,"V.T.Bui, K.S.Nguyen & C.W.Lin",Phytotaxa 720(1): 82. 2025 [26 Sep 2025] [epublished],,,
