WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1000065451,urn:lsid:ipni.org:names:77372961-1,Taraxacum crocelliforme,R.Doll ex Štěpánek & Kirschner,Preslia 95: 499. 2023 [21 Dec 2023] [epublished],,,,"Slovakia (Czechoslovakia, Middle Europe, Europe);Poland (Middle Europe, Europe);Ukraine (Ukraine, Eastern Europe, Europe);Romania (Southeastern Europe, Europe);Austria (Austria, Middle Europe, Europe);Italy (Italy, Southeastern Europe, Europe);"
wfo-1000065450,urn:lsid:ipni.org:names:77372962-1,Taraxacum tantulum,Štěpánek & Kirschner,Preslia 95: 512. 2023 [21 Dec 2023] ,,,,"Slovakia (Czechoslovakia, Middle Europe, Europe)"
wfo-1000086698,urn:lsid:ipni.org:names:77372985-1,Astragalus cordigerus,"Knjaz., Laktionov & Murtaz.",Turczaninowia 28(3): 201. 2025 [11 Oct 2025] [epublished],,,,"Dagestan (North Caucasus, Caucasus, Asia-Temperate)"
wfo-1000086703,urn:lsid:ipni.org:names:77372995-1,× Herorchiserapias garriuscola,Soca,Carnets Bot. 265: 12. 2025 [10 Aug 2025] [epublished],,,,"France (France, Southwestern Europe, Europe)"
wfo-1000086709,urn:lsid:ipni.org:names:77373002-1,Rubus coronae-aureae,M.Lepší & P.Lepší,Taxon 74(5): 1116. 2025 [11 Jul 2025] [epublished],,,,"Austria (Austria, Middle Europe, Europe);Czech Republic (Czechoslovakia, Middle Europe, Europe);"
wfo-1000086710,urn:lsid:ipni.org:names:77373004-1,Rubus divulgatus,Sochor,Taxon 74(5): 1122. 2025 [11 Jul 2025] [epublished],,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe);Germany (Middle Europe, Europe);Poland (Middle Europe, Europe);Romania (Southeastern Europe, Europe);Ukraine (Ukraine, Eastern Europe, Europe);"
wfo-1000086711,urn:lsid:ipni.org:names:77373005-1,Rubus piceeticola,"M.Lepší, P.Lepší & Velebil",Taxon 74(5): 1126. 2025 [11 Jul 2025] [epublished],,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe);Germany (Middle Europe, Europe);"
wfo-1000086712,urn:lsid:ipni.org:names:77373006-1,Sorbus oravica,"Velebil, Bernátová, M.Lepší & P.Lepší",Phytotaxa 732(3): 227. 2025 [5 Dec 2025] [epublished],,,,"Slovakia (Czechoslovakia, Middle Europe, Europe)"
wfo-1000086797,urn:lsid:ipni.org:names:77373252-1,Knautia serpentinicola,"Smejkal ex Kolář, Z.Kaplan, J.Suda & Štech",Preslia 87(4): 376. 2015 [13 Dec 2015] ,,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe)"
wfo-1000086801,urn:lsid:ipni.org:names:77373256-1,Verbascum bolbes,Zograf.,Phytotaxa 733(1): 111. 2025 [9 Dec 2025] [epublished],,,,"Greece (Southeastern Europe, Europe)"
