WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1000087381,urn:lsid:ipni.org:names:77374517-1,Lotus frailensis,A.A.Weller,Phytotaxa 736(3): 214. 2025 [31 Dec 2025] [epublished],,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000087382,urn:lsid:ipni.org:names:77374518-1,Lotus pseudodumetorum,A.A.Weller,Phytotaxa 736(3): 217. 2025 [31 Dec 2025] [epublished],,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000087383,urn:lsid:ipni.org:names:77374519-1,Lotus reyes-betancortii,A.A.Weller,"Phytotaxa 736(3): 220. 2025 [31 Dec 2025] , as 'reyes-betancorti' [epublished]",,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000087384,urn:lsid:ipni.org:names:77374520-1,Lotus brezalis,A.A.Weller,Phytotaxa 736(3): 223. 2025 [31 Dec 2025] [epublished],,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000087385,urn:lsid:ipni.org:names:77374521-1,Lotus dunkelii,A.A.Weller,Phytotaxa 736(3): 226. 2025 [31 Dec 2025] [epublished],,,,"Canary Is. (Macaronesia, Africa)"
wfo-1200116556,urn:lsid:ipni.org:names:77374522-1,Lotus campylocladus subsp. hierrensis,A.A.Weller,Phytotaxa 736(3): 229. 2025 [31 Dec 2025] [epublished],,,,"Canary Is. (Macaronesia, Africa)"
wfo-1000087386,urn:lsid:ipni.org:names:77374523-1,Polystichum caucasicum,Ekrt & S.Jess.,Phytotaxa 736(3): 280. 2025 [31 Dec 2025] [epublished],,,,"Armenia (Transcaucasus, Caucasus, Asia-Temperate);Gruziya (Transcaucasus, Caucasus, Asia-Temperate);Karacheyevo-Cherkessiya (North Caucasus, Caucasus, Asia-Temperate);Tadzhikistan (Middle Asia, Asia-Temperate);Turkey (Western Asia, Asia-Temperate);"
wfo-1000087397,urn:lsid:ipni.org:names:77374539-1,Sparganium × foliosum,"A.A.Bobrov, P.Volkova, Mochalova & Chemeris",Perspect. Pl. Ecol. Evol. Syst. 60-125746: 21. 2023 [1 Jun 2023] [epublished],,,,"Central European Russia (Eastern Europe, Europe)"
wfo-1000087408,urn:lsid:ipni.org:names:77374654-1,Hypericum aladaglariense,"H.Duman, Özbek & Çakır",Nordic J. Bot. 2025(12)-e04878: 2. [15 Sep 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000087453,urn:lsid:ipni.org:names:77374703-1,Arum milleyhanum,Yıldırım & Kayıkçı,Bağbahçe Bilim Derg. 12(1): 9. 2025 [30 Apr 2025] [epublished],,,,"Turkey (Western Asia, Asia-Temperate)"
