WFOID,IPNID,scientificName,authors_t,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200110255,urn:lsid:ipni.org:names:77354669-1,Quercus laurina,Raf.,Alsogr. Amer. 27. 1838 ,nom. illeg. later homonym,,
wfo-1000077606,urn:lsid:ipni.org:names:77354788-1,Fagus subgen. Englerianae,Denk & G.W.Grimm,Willdenowia 54(2-3): 160. 2024 [2 Oct 2024] [epublished],,,
wfo-1000077607,urn:lsid:ipni.org:names:77354789-1,Fagus caspica,Denk & G.W.Grimm,Willdenowia 54(2-3): 174. 2024 [2 Oct 2024] [epublished],,,
wfo-1000077670,urn:lsid:ipni.org:names:77354865-1,Quercus salasiae,S.Valencia & O.J.Soto,Phytotaxa 681(1): 63. 2025 [8 Jan 2025] [epublished],,,
wfo-1200110411,urn:lsid:ipni.org:names:77355487-1,Quercus maritima,W.Bartram,Travels Carolina 164. 1791 ,,,
wfo-1200110413,urn:lsid:ipni.org:names:77355593-1,Quercus hemisphaerica,W.Bartram,"Travels Carolina xv, adnot. *. 1791 ",,,
