WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1000089260,urn:lsid:ipni.org:names:77375896-1,Medicago peregrina,Verloove & Gonggrijp,Pl. Ecol. Evol. 159(1): 97. 2026 [17 Feb 2026] ,,,,"Belgium (Belgium, Middle Europe, Europe)"
wfo-1000088946,urn:lsid:ipni.org:names:77377267-1,Trillium radiatum,Lampley,Syst. Biogeogr. Study Trillium 69. 2021 [Dec 2021] ,Contrary to Art. 29.1. ICN (2018). Not effectively published?,,,"Alabama (Southeastern U.S.A., Northern America);Georgia (Southeastern U.S.A., Northern America);Tennessee (Southeastern U.S.A., Northern America);"
wfo-1000088954,urn:lsid:ipni.org:names:77377379-1,Knautia ehrendorferi,"Rešetnik, Frajman & Schönsw.",Perspect. Pl. Ecol. Evol. Syst. 59-125730: 12. 2023 [3 Apr 2023] ,,,,"Bosnia-Herzegovina (Yugoslavia, Southeastern Europe, Europe)"
wfo-1000088997,urn:lsid:ipni.org:names:77377476-1,Cystopteris × heptaploidea,S.Jess.,Kochia 19: 92. 2026 [8 Mar 2026] ,,,,"Switzerland (Middle Europe, Europe)"
wfo-1000089006,urn:lsid:ipni.org:names:77377596-1,Ophrys × spampinatoi,Laface & Torino,"Conservation (Basel) 5(4)-85: 12. 2025 [16 Dec 2025] , as 'spampinatii'","nom. inval.    Contrary to Art. 40.6., ICN (2025): on or after 1 Jan 2007, the type indicated in accordance with Art. 40 may not be an illustration. The authors cite an 'Iconotype' (photograph) in place of a holotype specimen. The term 'illustration' in the ICN designates a work of art or a photograph (see Art. 6.1.)",,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000089007,urn:lsid:ipni.org:names:77377597-1,Ophrys × stilarensis,Laface & Torino,Conservation (Basel) 5(4)-85: 15. 2025 [16 Dec 2025] ,"nom. inval.    Contrary to Art. 40.6., ICN (2025): on or after 1 Jan 2007, the type indicated in accordance with Art. 40 may not be an illustration. The authors cite an 'Iconotype' (photograph) in place of a holotype specimen. The term 'illustration' in the ICN designates a work of art or a photograph (see Art. 6.1.)",,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000089008,urn:lsid:ipni.org:names:77377598-1,Ophrys × montis-stellae,Laface & Torino,Conservation (Basel) 5(4)-85: 9. 2025 [16 Dec 2025] ,"nom. inval.    Contrary to Art. 40.6., ICN (2025): on or after 1 Jan 2007, the type indicated in accordance with Art. 40 may not be an illustration. The authors cite an 'Iconotype' (photograph) in place of a holotype specimen. The term 'illustration' in the ICN designates a work of art or a photograph (see Art. 6.1.)",,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000089009,urn:lsid:ipni.org:names:77377599-1,Dactylorhiza × aspromontana,Laface & Torino,Conservation (Basel) 5(4)-85: 6. 2025 [16 Dec 2025] ,"nom. inval.    Contrary to Art. 40.6., ICN (2025): on or after 1 Jan 2007, the type indicated in accordance with Art. 40 may not be an illustration. The authors cite an 'Iconotype' (photograph) in place of a holotype specimen. The term 'illustration' in the ICN designates a work of art or a photograph (see Art. 6.1.)",,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000089033,urn:lsid:ipni.org:names:77377628-1,Cystopteris × axalpensis,S.Jess.,Kochia 19: 90. 2026 [8 Mar 2026] ,,,,"Switzerland (Middle Europe, Europe);Bulgaria (Southeastern Europe, Europe);"
wfo-1000089034,urn:lsid:ipni.org:names:77377629-1,Cystopteris × pertusionensis,S.Jess.,Kochia 19: 91. 2026 [8 Mar 2026] ,,,,"Switzerland (Middle Europe, Europe)"
wfo-1200117724,urn:lsid:ipni.org:names:77377644-1,Saxifraga cuatrecasasii nothosubsp. ivorrae,Lahora,"Anales Biol., Fac. Biol., Univ. Murcia 47: 40. 2025 [1 Sep 2025 ] ",,,,"Spain (Southwestern Europe, Europe)"
wfo-1000089043,urn:lsid:ipni.org:names:77377650-1,Solenopsis sphaciotica,"Cambria, Giusso, Miniss. & Brullo",PhytoKeys 271: 261. 2026 [12 Mar 2026] ,,,,"Kriti (Southeastern Europe, Europe)"
wfo-1000089052,urn:lsid:ipni.org:names:77377661-1,Pulmonaria × superflua,Vejv. & Kobrlová,Pl. Syst. Evol. 311(6)-41: 16. 2025 [26 Oct 2025] ,,,,"Czech Republic (Czechoslovakia, Middle Europe, Europe)"
wfo-1000089053,urn:lsid:ipni.org:names:77377662-1,Allium nebulosum,"Duchoslav, Vojtěch. & Kobrlová",Pl. Syst. Evol. 312(1)-9: 18. 2026 [29 Jan 2026] ,,,,"Bulgaria (Southeastern Europe, Europe);Macedonia (Yugoslavia, Southeastern Europe, Europe);Romania (Southeastern Europe, Europe);Serbia (Yugoslavia, Southeastern Europe, Europe);"
wfo-1000089054,urn:lsid:ipni.org:names:77377664-1,Festuca ankarica,Hamzaoğlu,Anatol. J. Bot. 9(2): 136. 2025 [26 Aug 2025] ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000089086,urn:lsid:ipni.org:names:77377813-1,Hieracium × altomijarense,Mateo & Gómiz,Fl. Montiber. 91: 131. 2025 [Apr 2025] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000089087,urn:lsid:ipni.org:names:77377814-1,Hieracium × aranense,Mateo & Gómiz,Fl. Montiber. 91: 132. 2025 [Apr 2025] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000089088,urn:lsid:ipni.org:names:77377815-1,Hieracium × canfranicum,Mateo & Gómiz,Fl. Montiber. 91: 132. 2025 [Apr 2025] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000089089,urn:lsid:ipni.org:names:77377817-1,Hieracium × estosense,Mateo & Gómiz,Fl. Montiber. 91: 132. 2025 [Apr 2025] ,,,,"Spain (Spain, Southwestern Europe, Europe)"
wfo-1000089090,urn:lsid:ipni.org:names:77377819-1,Sparganium × papczenkovii,Belyakov & Lapirov,Aquatic Bot. 201-103919: 5. 2025 [26 Jun 2025] ,,,,"Northwest European Russia (Eastern Europe, Europe)"
wfo-1000089091,urn:lsid:ipni.org:names:77377820-1,Ophrys × vernolensis,"Lumare, Medagli, De Giorgi & Ricchiuto",Thalassia Salentina 47: 53. 2025 [1 Dec 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000089099,urn:lsid:ipni.org:names:77377831-1,Serapias × romanoi,Lumare & Medagli,Thalassia Salentina 47: 36. 2025 ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000089100,urn:lsid:ipni.org:names:77377832-1,Serapias × natalizioi,Lumare & Medagli,Thalassia Salentina 47: 38. 2025 ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000089101,urn:lsid:ipni.org:names:77377833-1,× Serapicamptis nohae,"Lumare, Turco & Medagli",Thalassia Salentina 47: 39. 2025 ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1200117748,urn:lsid:ipni.org:names:77378072-1,Romulea requienii var. etrusca,Chiarugi,Nuovo Giorn. Bot. Ital. 36: 195. 1929 ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000089204,urn:lsid:ipni.org:names:77378105-1,Quercus × venusta,Dum.-Tǎt.,Comun. Acad. Republ. Populare Romîne 6(3): 449. 1956 ,,,,"Romania (Southeastern Europe, Europe)"
wfo-1000089206,urn:lsid:ipni.org:names:77378220-1,Ophrys × ramonii,Soca,Carnets Bot. 286: 6. 2026 [11 Jan 2026] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000089209,urn:lsid:ipni.org:names:77378225-1,Gagea baskilensis,Behçet,Phytotaxa 749(2): 201. 2026 [26 Mar 2026] ,,,,"Turkey (Western Asia, Asia-Temperate)"
wfo-1000088936,urn:lsid:ipni.org:names:77378226-1,Hieracium bronae,Szeląg,Phytotaxa 749(2): 209. 2026 [26 Mar 2026] ,,,,"Poland (Middle Europe, Europe)"
wfo-1000088937,urn:lsid:ipni.org:names:77378227-1,Hieracium rohacsensiforme,Szeląg,Phytotaxa 749(2): 211. 2026 [26 Mar 2026] ,,,,"Poland (Middle Europe, Europe)"
wfo-1000088938,urn:lsid:ipni.org:names:77378228-1,Hieracium scituliforme,Chrtek f. & Szeląg,Phytotaxa 749(2): 215. 2026 [26 Mar 2026] ,,,,"Slovakia (Czechoslovakia, Middle Europe, Europe)"
wfo-1000089219,urn:lsid:ipni.org:names:77378249-1,Hieracium hugoi,Szeląg,Phytotaxa 750(1): 43. 2026 [31 Mar 2026] ,,,,"Poland (Middle Europe, Europe)"
wfo-1000089220,urn:lsid:ipni.org:names:77378250-1,Hieracium ladislai,Szeląg,Phytotaxa 750(1): 45. 2026 [31 Mar 2026] ,,,,"Poland (Middle Europe, Europe)"
wfo-1000089222,urn:lsid:ipni.org:names:77378255-1,Hieracium napaeiforme,Szeląg,Phytotaxa 750(1): 65. 2026 [31 Mar 2026] ,,,,"Romania (Southeastern Europe, Europe)"
wfo-1000089223,urn:lsid:ipni.org:names:77378256-1,Hieracium pseudorohacsense,Szeląg,Phytotaxa 750(1): 68. 2026 [31 Mar 2026] ,,,,"Romania (Southeastern Europe, Europe)"
