WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor,distribution
wfo-1200117001,urn:lsid:ipni.org:names:77376402-1,Sedum confertiflorum subsp. euboicum,Trigas & Polymenakos,Phytotaxa 740(1): 115. 2026 [3 Feb 2026] [epublished],,,,"Greece (Southeastern Europe, Europe)"
wfo-1000088155,urn:lsid:ipni.org:names:77376403-1,Ophrys × montis-sacri,"Bisceglia, Perilli, Soca & Benigni",GIROS Orch. Spont. Eur. 68(2): 275. 2025 [Nov 2025] [epublished],,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000088156,urn:lsid:ipni.org:names:77376404-1,Ophrys × montis-saraceni,Bisceglia & Benigni,GIROS Orch. Spont. Eur. 68(2): 256. 2025 [Nov 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000088157,urn:lsid:ipni.org:names:77376405-1,Ophrys × napolii,Licheri,GIROS Orch. Spont. Eur. 68(2): 326. 2025 [Nov 2025] ,,,,"Sardegna (Southwestern Europe, Europe)"
wfo-1000088158,urn:lsid:ipni.org:names:77376406-1,Ophrys × obnixa,Licheri,GIROS Orch. Spont. Eur. 68(2): 322. 2025 [Nov 2025] ,,,,"Sardegna (Southwestern Europe, Europe)"
wfo-1000088160,urn:lsid:ipni.org:names:77376409-1,Ophrys × ratinii,Toli & Benigni,GIROS Orch. Spont. Eur. 68(2): 241. 2025 [Nov 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000088161,urn:lsid:ipni.org:names:77376410-1,Ophrys × renati,Licheri,GIROS Orch. Spont. Eur. 68(2): 317. 2025 [Nov 2025] ,,,,"Sardegna (Southwestern Europe, Europe)"
wfo-1000088162,urn:lsid:ipni.org:names:77376411-1,Ophrys × rossellae,Manunza & Doneddu,GIROS Orch. Spont. Eur. 68(2): 292. 2025 [Nov 2025] ,,,,"Sardegna (Southwestern Europe, Europe)"
wfo-1000088163,urn:lsid:ipni.org:names:77376412-1,Serapias × lorenzonii,Lumare & Medagli,GIROS Orch. Spont. Eur. 68(2): 371. 2025 [Nov 2025] ,,,,"Italy (Italy, Southeastern Europe, Europe)"
wfo-1000088143,urn:lsid:ipni.org:names:77376413-1,Orchis × elineae,Biagioli & Sotgiu,GIROS Orch. Spont. Eur. 68(2): 224. 2025 [Nov 2025] ,,,,"Sardegna (Southwestern Europe, Europe)"
wfo-1000088190,urn:lsid:ipni.org:names:77376572-1,Sambucus eminagaoglui,H.Akyıldırım,Phytotaxa 740(3): 274. 2026 [10 Feb 2026] ,,,,"Turkey (Western Asia, Asia-Temperate)"
