WFOID,IPNID,scientificName,authors_t,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000077589,urn:lsid:ipni.org:names:77354655-1,Garcinia guttifolia,Mouzinho & L.Marinho,Acta Bot. Brasil. 38-e20230271: 6. 2024 [20 Dec 2024] [epublished],,,
wfo-1000077590,urn:lsid:ipni.org:names:77354656-1,Garcinia ieda-amaralae,Mouzinho & M.L.Soares,Acta Bot. Brasil. 38-e20230271: 10. 2024 [20 Dec 2024] [epublished],,,
wfo-1000077591,urn:lsid:ipni.org:names:77354657-1,Garcinia kaiabiana,Mouzinho,Acta Bot. Brasil. 38-e20230271: 14. 2024 [Dec 2024] [epublished],,,
wfo-1000077880,urn:lsid:ipni.org:names:77355087-1,Plinia oblongifolia,"Á.J.Pérez, M.L.Kawas. & B.Holst",Harvard Pap. Bot. 29(2): 297. 2024 [31 Dec 2024] [epublished],,,
