WFOID,IPNID,scientificName,authors_t,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000078459,urn:lsid:ipni.org:names:77357085-1,Cirsium pengii,"Y.H.Tseng, P.C.Liao & Chih Y.Chang",Bot. Stud. (Taipei) 66-8: 17. 2025 [14 Feb 2025] [epublished],,,
wfo-4100000064,urn:lsid:ipni.org:names:77357096-1,trib. Anthemideae,Cass.,J. Phys. Chim. Hist. Nat. Arts 88: 192. 1819 ,,,
wfo-1000078465,urn:lsid:ipni.org:names:77357105-1,Dimorphotheca overbergensis,T.Parker,Taxon 74(1): 148. 2024 [16 Nov 2024] [epublished],,,
wfo-0000004014,urn:lsid:ipni.org:names:77357107-1,Osteospermum dregei var. reticulatum,Norl.,Stud. Calenduleae 1: 249. 1943 ,,,
wfo-1000078467,urn:lsid:ipni.org:names:77357108-1,Dimorphotheca reticulata,(Norl.) T.Parker,Taxon 74(1): 149. 2024 [16 Nov 2024] [epublished],,Asteraceae Osteospermum dregei (DC.) Norl. var. reticulatum Norl.,(Norl.)
wfo-1000078516,urn:lsid:ipni.org:names:77357273-1,Chromolaena diversifolia,A.L.Christ,Phytotaxa 689(2): 170. 2025 [24 Feb 2025] [epublished],,,
wfo-1000078517,urn:lsid:ipni.org:names:77357274-1,Chromolaena nervosa,(Chodat) A.L.Christ,Phytotaxa 689(2): 176. 2025 [24 Feb 2025] [epublished],,Asteraceae Eupatorium caaguazuense  var. nervosum Chodat,(Chodat)
wfo-1000078519,urn:lsid:ipni.org:names:77357276-1,Calea riopardensis,"V.R.Bueno, Prata-Silveira & Bentes",Phytotaxa 689(2): 187. 2025 [24 Feb 2025] [epublished],,,
wfo-1000078521,urn:lsid:ipni.org:names:77357278-1,Calea roqueana,"V.R.Bueno, Prata-Silveira & Bentes",Phytotaxa 689(2): 189. 2025 [24 Feb 2025] [epublished],,,
wfo-1000078523,urn:lsid:ipni.org:names:77357280-1,Calea strigosa,"V.R.Bueno, Prata-Silveira & Bentes",Phytotaxa 689(2): 193. 2025 [24 Feb 2025] [epublished],,,
wfo-1000078530,urn:lsid:ipni.org:names:77357287-1,Uniyala keralensis,E.S.S.Kumar & Shareef,Phytotaxa 689(2): 278. 2025 [24 Feb 2025] [epublished],,,
wfo-1000078661,urn:lsid:ipni.org:names:77357568-1,Centaurea saeidii,Negaresh,Phytotaxa 690(2): 268. 2025 [28 Feb 2025] [epublished],,,
