WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000105960,urn:lsid:ipni.org:names:77363593-1,Aster albescens var. niveus,Hand.-Mazz.,Acta Horti Gothob. 12: 208. 1938 [21 Mar 1938] ,,,
wfo-1200113447,urn:lsid:ipni.org:names:77363594-1,Homostylium albescens var. niveum,(Hand.-Mazz.) Z.X.Fu,PhytoKeys 259: 45. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster albescens (DC.) Wall. ex Hand.-Mazz. var. niveus Hand.-Mazz.,(Hand.-Mazz.)
wfo-1000082244,urn:lsid:ipni.org:names:77363595-1,Homostylium argyropholium,(Hand.-Mazz.) Z.X.Fu,PhytoKeys 259: 46. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster argyropholis Hand.-Mazz.,(Hand.-Mazz.)
wfo-1200113448,urn:lsid:ipni.org:names:77363596-1,Homostylium argyropholium var. niveum,(Y.Ling) Z.X.Fu,PhytoKeys 259: 48. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster argyropholis Hand.-Mazz. var. niveus Y.Ling,(Y.Ling)
wfo-1200113449,urn:lsid:ipni.org:names:77363597-1,Homostylium argyropholium var. paradoxum,(Y.Ling) Z.X.Fu,PhytoKeys 259: 49. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster argyropholis Hand.-Mazz. var. paradoxus Y.Ling,(Y.Ling)
wfo-1000082245,urn:lsid:ipni.org:names:77363598-1,Homostylium fulgidulum,(Grierson) Z.X.Fu,PhytoKeys 259: 49. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster fulgidulus Grierson,(Grierson)
wfo-1000082246,urn:lsid:ipni.org:names:77363599-1,Homostylium hypoleucum,(Hand.-Mazz.) Z.X.Fu,PhytoKeys 259: 52. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster hypoleucus Hand.-Mazz.,(Hand.-Mazz.)
wfo-1000082247,urn:lsid:ipni.org:names:77363600-1,Homostylium lavandulifolium,(Hand.-Mazz.) Z.X.Fu,PhytoKeys 259: 55. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster lavandulifolius Hand.-Mazz.,(Hand.-Mazz.)
wfo-1000082248,urn:lsid:ipni.org:names:77363601-1,Homostylium motuoense,(Y.L.Chen) Z.X.Fu,PhytoKeys 259: 58. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster motuoensis Y.L.Chen,(Y.L.Chen)
wfo-1000082249,urn:lsid:ipni.org:names:77363602-1,Homostylium polium,(C.K.Schneid.) Z.X.Fu,PhytoKeys 259: 60. 2025 [17 Jun 2025] [epublished],,Asteraceae Aster polius C.K.Schneid.,(C.K.Schneid.)
