WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000082048,urn:lsid:ipni.org:names:77362950-1,Pilosella sericochrota,(Zahn) Szeląg & Vladimir.,Phytotaxa 704(2): 206. 2025 [6 Jun 2025] [epublished],Pilosella,,Asteraceae Hieracium pseudopilosella Ten. subsp. sericochrota Zahn,(Zahn)
wfo-1000082049,urn:lsid:ipni.org:names:77362951-1,Pilosella × riloensis,Szeląg & Vladimir.,Phytotaxa 704(2): 204. 2025 [6 Jun 2025] [epublished],Pilosella,,,
wfo-1200113389,urn:lsid:ipni.org:names:77363114-1,Hieracium bifidum subsp. ithanum,Gottschl.,Kochia 18: 30. 2025 [16 May 2025] ,Hieracium,,,
wfo-1000082082,urn:lsid:ipni.org:names:77363131-1,Taraxacum tenuidentatum,Oosterv. ex K.Jung & Uhlemann,Kochia 18: 93. 2025 [16 May 2025] ,Taraxacum,,,
