WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000078396,urn:lsid:ipni.org:names:77356657-1,Hieracium stanislai,Szeląg,Phytotaxa 684(2): 283. 2025 [11 Feb 2025] [epublished],Hieracium,,,
wfo-1000078397,urn:lsid:ipni.org:names:77356658-1,Hieracium walasii,Szeląg,Phytotaxa 684(2): 285. 2025 [11 Feb 2025] [epublished],Hieracium,,,
