WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000086593,urn:lsid:ipni.org:names:77372750-1,Youngia jianningensis,Y.Bin Chen & Y.L.Gao,Phytotaxa 731(3): 288. 2025 [2 Dec 2025] [epublished],Youngia,,,
wfo-1000065451,urn:lsid:ipni.org:names:77372961-1,Taraxacum crocelliforme,R.Doll ex Štěpánek & Kirschner,Preslia 95: 499. 2023 [21 Dec 2023] [epublished],Taraxacum,,,
wfo-1000065450,urn:lsid:ipni.org:names:77372962-1,Taraxacum tantulum,Štěpánek & Kirschner,Preslia 95: 512. 2023 [21 Dec 2023] ,Taraxacum,,,
wfo-0000106854,urn:lsid:ipni.org:names:77373013-1,Hieracium laevigatum subsp. retardatum,Zahn,"Fl. Schweiz (Schinz), ed. 2. 2: 341. 1905 [Oct 1905] ",Hieracium,,,
wfo-0000069944,urn:lsid:ipni.org:names:77373201-1,Hieracium × leiosoma subsp. abortivum,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 63. 1886 [Aug 1886] ,Hieracium,,,
wfo-1200116330,urn:lsid:ipni.org:names:77373202-1,Hieracium laevigatum subsp. stenogonum,Zahn,"Pflanzenr. (Engler) IV, 280(Heft 79): 878. 1922 [14 Feb 1922] ",Hieracium,,,
wfo-1200067106,urn:lsid:ipni.org:names:77373203-1,Hieracium leiocephalum subsp. besenellum,Zahn,Syn. Mitteleur. Fl. 12(2): 76. 1930 [30 Oct 1930] ,Hieracium,,,
wfo-0000106283,urn:lsid:ipni.org:names:77373204-1,Hieracium leiocephalum subsp. abortivum,(Nägeli & Peter) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 75): 77. 1921 [4 Feb 1921] ",Hieracium,,Asteraceae Hieracium × leiosoma Nägeli & Peter subsp. abortivum Nägeli & Peter,(Nägeli & Peter)
wfo-0000112376,urn:lsid:ipni.org:names:77373207-1,Hieracium × leiosoma subsp. melanocalyx,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 65. 1886 [Aug 1886] ,Hieracium,,,
wfo-0000112199,urn:lsid:ipni.org:names:77373208-1,Hieracium leiocephalum subsp. melanocalyx,(Nägeli & Peter) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 75): 78. 1921 [4 Feb 1921] ",Hieracium,,Asteraceae Hieracium × leiosoma Nägeli & Peter subsp. melanocalyx Nägeli & Peter,(Nägeli & Peter)
wfo-0000109548,urn:lsid:ipni.org:names:77373209-1,Hieracium × leiosoma subsp. timaviense,Nägeli & Peter,Hierac. Mitt.-Eur. 2: 64. 1886 [Aug 1886] ,Hieracium,,,
wfo-0000097231,urn:lsid:ipni.org:names:77373210-1,Hieracium leiocephalum subsp. timaviense,(Nägeli & Peter) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 75): 78. 1921 [4 Feb 1921] ",Hieracium,,Asteraceae Hieracium × leiosoma Nägeli & Peter subsp. timaviense Nägeli & Peter,(Nägeli & Peter)
wfo-1200067110,urn:lsid:ipni.org:names:77373212-1,Hieracium leiopogon subsp. hyposericum,Zahn,Hierac. Alp. Mar. 203. 1916 [Dec 1916] ,Hieracium,,,
wfo-0000071084,urn:lsid:ipni.org:names:77373214-1,Hieracium leucophaeum subsp. godetii,(Christener ex Godet) Zahn,Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss. 40: 518. 1906 ,Hieracium,,Asteraceae Hieracium godetii Christener ex Godet,(Christener ex Godet)
wfo-0000100409,urn:lsid:ipni.org:names:77373217-1,Hieracium vulgatum subsp. ausugum,Murr & Zahn,Deutsche Bot. Monatsschr. 20: 38. 1902 [Mar 1902] ,Hieracium,,,
wfo-0000108941,urn:lsid:ipni.org:names:77373218-1,Hieracium levicaule subsp. ausugum,(Murr & Zahn) Zahn,"Pflanzenr. (Engler) IV, 280(Heft 76): 405. 1921 [10 May 1921] ",Hieracium,,Asteraceae Hieracium vulgatum Fr. subsp. ausugum Murr & Zahn,(Murr & Zahn)
