WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000094667,urn:lsid:ipni.org:names:77372480-1,Scolymus grandiflorus,Desf.,Méd. Eclairée Sci. Phys. 1(11): 324. 1791 [15 Nov 1791] ,Scolymus,,,
wfo-1200115677,urn:lsid:ipni.org:names:77371928-1,Hieracium [infragen.unranked] Bifida,Arv.-Touv.,Bull. Soc. Dauphin. Échange Pl. [278-292]. 1880 ,Hieracium,,,
wfo-1200115803,urn:lsid:ipni.org:names:77371869-1,Hieracium × palentinum,"(Mateo, Egido & Gómiz) Z.H.Feng",Phytoneuron 2025-55: 3. [7 Nov 2025] [epublished],Hieracium,nom. illeg. later homonym,"Asteraceae Hieracium viride Arv.-Touv. var. palentinum Mateo, Egido & Gómiz","(Mateo, Egido & Gómiz)"
wfo-1200115812,urn:lsid:ipni.org:names:77371926-1,Hieracium subsect. Bifida,(Arv.-Touv.) Pugsley,"J. Linn. Soc., Bot. 54: 120. 1948 ",Hieracium,,Asteraceae Hieracium [infragen.unranked] Bifida Arv.-Touv.,(Arv.-Touv.)
wfo-1200115813,urn:lsid:ipni.org:names:77371927-1,Hieracium sect. Bifida,(Arv.-Touv.) A.R.Clapham,Fl. Brit. Isles [Clapham et al.] 1: 1591. 1952 ,Hieracium,,Asteraceae Hieracium [infragen.unranked] Bifida Arv.-Touv.,(Arv.-Touv.)
