WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200113133,urn:lsid:ipni.org:names:77361197-1,Hieracium nigrescens subsp. pseudohalleri,(Zahn) Zahn,"Syn. Deut. Schweiz. Fl., ed. 3 [Hallier & Brand] 2: 1844. 1901 [Sep 1901] ",Hieracium,,Asteraceae Hieracium alpinum L. subsp. pseudohalleri Zahn,(Zahn)
wfo-0000396901,urn:lsid:ipni.org:names:77361223-1,Pilosella thaliana,(L.) Kostel. ex Rydb.,Torreya 7: 158. 1907 [Aug 1907] ,Pilosella,,Brassicaceae Arabis thaliana L.,(L.)
wfo-0000129314,urn:lsid:ipni.org:names:77362646-1,Scorzonera cana,(C.A.Mey.) Griseb.,Spic. Fl. Rumel. 2(5/6): 546. 1846 [Jan 1846] ,Scorzonera,,Asteraceae Podospermum canum C.A.Mey.,(C.A.Mey.)
wfo-4100004731,urn:lsid:ipni.org:names:30074579-2,Pilosella,Kostel. ex Rydb.,Torreya 7: 158. 1907 [Aug 1907] ,Pilosella,nom. illeg. later homonym    non J. Hill (1756).,,
