WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200113951,urn:lsid:ipni.org:names:77366088-1,Scorzonera hispanica var. pinnatifida,Rouy,"Naturaliste sér. 2, 4(12): 84. 1890 [1 Apr 1890] ",Scorzonera,,,
wfo-0000084512,urn:lsid:ipni.org:names:77366120-1,Lactuca chondrilliflora subsp. contracta,(Velen.) Nyman,Consp. Fl. Eur. Suppl. 2(1): 189. 1889 ,Lactuca,,Asteraceae Lactuca contracta Velen.,(Velen.)
