WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000079373,urn:lsid:ipni.org:names:77358237-1,Tragopogon taleghanensis,S.R.Safavi & Mahmoodi,Iran. J. Bot. 30(1): 12. 2024 [Jun 2024] ,Tragopogon,,,
wfo-1200111920,urn:lsid:ipni.org:names:77358882-1,Catananche bicolor,Bosse,Allg. Gartenzeitung 5: 294. 1837 ,Catananche,,,
wfo-1200111936,urn:lsid:ipni.org:names:77358962-1,Hieracium praecox var. horripilum,Arv.-Touv. & Gaut.,Hieracioth. Gall. 5: 277-279. 1898 ,Hieracium,nom. inval. nom. nud.,,
wfo-1000079668,urn:lsid:ipni.org:names:77358965-1,Pilosella kalinensis,Szeląg & Vladimir.,Phytotaxa 694(2): 201. 2025 [20 Mar 2025] [epublished],Pilosella,,,
wfo-1200111569,urn:lsid:ipni.org:names:77359259-1,Taraxacum officinale var. uncinatum,Brenner,Meddeland. Soc. Fauna Fl. Fenn. 16: 112. 1889 ,Taraxacum,,,
wfo-1200111867,urn:lsid:ipni.org:names:77359321-1,Scorzonera hirsuta var. villosiformis,Fiori & Paol.,"Fl. Anal. Italia 3: 411. 1904 [Apr 1904] , as 'villosaeformis'",Scorzonera,,,
wfo-1200111570,urn:lsid:ipni.org:names:77359330-1,Taraxacum officinale var. glabratum,Kirk,"Stud. Fl. New Zealand 361. 1899 , as 'glabratus'",Taraxacum,,,
