WFOID,IPNID,scientificName,authors_t,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0001435586,urn:lsid:ipni.org:names:77354509-1,Lithops schwantesii var. kunjasensis,(Dinter) de Boer & Boom,Succulenta (Netherlands) 1961(7): 75. [Jul 1961] ,Aizoaceae,,Aizoaceae Lithops kunjasensis Dinter,(Dinter)
wfo-0001435590,urn:lsid:ipni.org:names:77354510-1,Lithops schwantesii var. triebneri,(L.Bolus) de Boer & Boom,Succulenta (Netherlands) 1961(7): 76. [Jul 1961] ,Aizoaceae,,Aizoaceae Lithops triebneri L.Bolus,(L.Bolus)
wfo-0001435605,urn:lsid:ipni.org:names:77354511-1,Lithops verruculosa var. inae,(Nel) de Boer & Boom,Succulenta (Netherlands) 1961(7): 77. [Jul 1961] ,Aizoaceae,,Aizoaceae Lithops inae Nel,(Nel)
wfo-1000077757,urn:lsid:ipni.org:names:77354652-1,Babbagia scleroptera,F.Muell.,Bot. Centralbl. 24: 374. 1885 ,Chenopodiaceae,,,
wfo-1200110174,urn:lsid:ipni.org:names:77354785-1,Rumex angustifolius subsp. libanoticus,Rech.f.,Repert. Spec. Nov. Regni Veg. 33: 354. 1934 [31 Mar 1934] ,Polygonaceae,,,
wfo-0001287179,urn:lsid:ipni.org:names:77354786-1,Hariota cassytha,Lem.,Cact. Gen. Sp. Nov. 75. 1839 [Feb 1839] ,Cactaceae,nom. illeg. nom. superfl.,,
wfo-0001287203,urn:lsid:ipni.org:names:77354835-1,Rhipsalis coralloides,Rauh,Cactaceae (Backeberg) 6: 3634. 1962 ,Cactaceae,,,
wfo-4100004897,urn:lsid:ipni.org:names:77354851-1,Klakia,van Jaarsv.,Avonia 42(4): 271. 2024 ,Aizoaceae,,,
wfo-1000077658,urn:lsid:ipni.org:names:77354852-1,Klakia longipes,(L.Bolus) van Jaarsv.,Avonia 42(4): 271. 2024 ,Aizoaceae,,Aizoaceae Delosperma longipes L.Bolus,(L.Bolus)
wfo-1000077660,urn:lsid:ipni.org:names:77354854-1,Klakia grandiflora,(L.Bolus) van Jaarsv.,"Avonia 42(4): 273. 2024 , as 'grandiflorum'",Aizoaceae,,Aizoaceae Delosperma grandiflorum L.Bolus,(L.Bolus)
wfo-1000077785,urn:lsid:ipni.org:names:77354874-1,Paramollugo caespitosa,(Scott Elliot) Thulin,Candollea 79(2): 195. 2024 [15 Oct 2024] [epublished],Molluginaceae,,Molluginaceae Mollugo caespitosa Scott Elliot,(Scott Elliot)
wfo-1000077789,urn:lsid:ipni.org:names:77354878-1,Paramollugo nesophila,"Thulin, E.Bidault, Boullet & Hivert",Candollea 79(2): 198. 2024 [15 Oct 2024] [epublished],Molluginaceae,,,
wfo-1000077790,urn:lsid:ipni.org:names:77354879-1,Paramollugo compressa,Thulin,Candollea 79(2): 205. 2024 [15 Oct 2024] [epublished],Molluginaceae,,,
wfo-1000077888,urn:lsid:ipni.org:names:77355099-1,Drymaria anilii,"Sindhu Arya, Harsh Singh & Iamonico",Plants [Basel] 13(23)-3378: 7. 2024 [30 Nov 2024] [epublished],Caryophyllaceae,,,
wfo-1200110414,urn:lsid:ipni.org:names:77355600-1,Rhipsalis mauritiana,(DC.) Bojer,Hortus Maurit. 156. 1837 ,Cactaceae,,Cactaceae Rhipsalis cassytha Gaertn. var. mauritiana DC.,(DC.)
wfo-1000078002,urn:lsid:ipni.org:names:77355662-1,Sphaeropuntia multiareolata,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36: 143. 2024 [epublished],Cactaceae,,Cactaceae Tephrocactus multiareolatus F.Ritter,(F.Ritter)
wfo-1000078003,urn:lsid:ipni.org:names:77355663-1,Neea contracta,D.S.Costa & E.F.S.Rossetto,Syst. Bot. 49(4): 743. 2025 [6 Jan 2025] [epublished],Nyctaginaceae,,,
wfo-1000076008,urn:lsid:ipni.org:names:77355988-1,Guerreroa occulta,(Katt.) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 3. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Eriosyce occulta Katt.,(Katt.)
wfo-1000078747,urn:lsid:ipni.org:names:77355989-1,Guerreroa pajonalensis,(I.Schaub & Keim) Matusz. & Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 4. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Eriosyce napina (Phil.) Katt. subsp. pajonalensis I.Schaub & Keim,(I.Schaub & Keim)
wfo-1000076006,urn:lsid:ipni.org:names:77355990-1,Guerreroa kunzei,(C.F.Först.) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 3. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Echinocactus kunzei C.F.Först.,(C.F.Först.)
wfo-1000076045,urn:lsid:ipni.org:names:77355991-1,Guerreroa sociabilis,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 4. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Neoporteria sociabilis F.Ritter,(F.Ritter)
wfo-1000075995,urn:lsid:ipni.org:names:77355997-1,Guerreroa calderana,(F.Ritter) Lodé,Cact.-Advent. Int. [Almeria] 36(Suppl. 2): 2. 2024 [Nov 2024] [epublished],Cactaceae,,Cactaceae Pyrrhocactus calderanus F.Ritter,(F.Ritter)
