WFOID,IPNID,scientificName,authors_t,namePublishedin,Family,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200110532,urn:lsid:ipni.org:names:77356373-1,Arrojadoa bahiensis subsp. minutiflora,Gonzaga & Oliveira-Pereira,Phytotaxa 684(1): 130. 2025 [5 Feb 2025] [epublished],Cactaceae,,,
wfo-0000530448,urn:lsid:ipni.org:names:77356404-1,Amaranthus retroflexus var. delilei,(Richt. & Loret) Thell.,Vierteljahrsschr. Naturf. Ges. Zürich 52: 442. 1907 ,Amaranthaceae,,Amaranthaceae Amaranthus delilei Richt. & Loret,(Richt. & Loret)
wfo-1200110619,urn:lsid:ipni.org:names:77356405-1,Amaranthus tricolor var. melancholicus,(L.) Thell.,Fl. Advent. Montpellier 209. 1912 ,Amaranthaceae,,Amaranthaceae Amaranthus melancholicus L.,(L.)
wfo-0000734437,urn:lsid:ipni.org:names:77356511-1,Euxolus deflexus var. minor,Moq.,Prodr. [A. P. de Candolle] 13(2): 275. 1849 ,Amaranthaceae,,,
wfo-1200110533,urn:lsid:ipni.org:names:77356512-1,Amaranthus deflexus var. minor,(Moq.) Thell.,Fl. Advent. Montpellier 214. 1912 ,Amaranthaceae,,Amaranthaceae Euxolus deflexus (L.) Raf. var. minor Moq.,(Moq.)
wfo-1200110534,urn:lsid:ipni.org:names:77356513-1,Amaranthus deflexus var. pseudocrispus,Thell.,"Fl. Advent. Montpellier 215. 1912 , as 'pseudo-crispus'",Amaranthaceae,,,
wfo-1200110535,urn:lsid:ipni.org:names:77356514-1,Amaranthus ascendens subvar. axillaris,Thell.,Fl. Advent. Montpellier 216. 1912 ,Amaranthaceae,,,
wfo-1200110621,urn:lsid:ipni.org:names:77356515-1,Amaranthus tricolor subsp. melancholicus,(L.) Thell. ex Wacht.,"Geill. Schoolfl. Nederl. ed. 11, 168. 1934 ",Amaranthaceae,,Amaranthaceae Amaranthus melancholicus L.,(L.)
wfo-0000750698,urn:lsid:ipni.org:names:77356516-1,Amaranthus angustifolius subsp. silvestris,(Tourn. ex Vill.) Thell. ex Wacht.,"Geill. Schoolfl. Nederl. ed. 11, 170. 1934 , as 'silvester'",Amaranthaceae,,Amaranthaceae Amaranthus silvestris Tourn. ex Vill.,(Tourn. ex Vill.)
wfo-1200110536,urn:lsid:ipni.org:names:77356524-1,Amaranthus blitum var. silvestris,(Tourn. ex Vill.) Moq.,Prodr. [A. P. de Candolle] 13(2): 263. 1849 ,Amaranthaceae,,Amaranthaceae Amaranthus silvestris Tourn. ex Vill.,(Tourn. ex Vill.)
wfo-1200110537,urn:lsid:ipni.org:names:77356525-1,Amaranthus viridis var. silvestris,(Tourn. ex Vill.) Beck,Icon. Fl. Germ. Helv. (H.G.L. Reichenbach) 24: 178. 1908 ,Amaranthaceae,,Amaranthaceae Amaranthus silvestris Tourn. ex Vill.,(Tourn. ex Vill.)
wfo-1000078408,urn:lsid:ipni.org:names:77356678-1,Gomphrena medinae,Zumaya & Sand.-Ort.,Phytotaxa 687(1): 10. 2025 [13 Feb 2025] [epublished],Amaranthaceae,,,
wfo-1000075534,urn:lsid:ipni.org:names:77356964-1,Coleocephalocereus superbus,N.P.Taylor & Olsthoorn,Bradleya 42: 6. 2024 [1 May 2024] ,Cactaceae,,,
wfo-1000076988,urn:lsid:ipni.org:names:77356965-1,Arrojadoa luetzelburgioides,N.P.Taylor & Zappi,Bradleya 42: 31. 2024 [1 May 2024] ,Cactaceae,,,
