WFOID,IPNID,scientificName,authors_t,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200110334,urn:lsid:ipni.org:names:77355267-1,Withania somnifera var. abhaica,"Alsuhaimi, M.A.Ali & Alwahibi","Bangladesh J. Pl. Taxon. 31(2): 205, 208, 221. 2024 [29 Dec 2024] [epublished]",nom. inval.    Contrary to Art. 40.6. ICN (2018). Type not indicated by the use of the word 'typus' or 'holotypus' or equivalent.,,
wfo-0001022241,urn:lsid:ipni.org:names:77355921-1,Lycianthes biflora subsp. hupehensis,Bitter,Abh. Naturwiss. Verein Bremen 24(2): 466. 1920 [Mar 1920] ,,,
