WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089370,urn:lsid:ipni.org:names:77378275-1,Begonia mizoramensis,"Sailo, Khomdram & Yumkham",Taiwania 71(2): 214. 2026 [17 Mar 2026] ,,,
wfo-1000089389,urn:lsid:ipni.org:names:77378408-1,Begonia lawar,Randi & M.Hughes,Taiwania 71(2): 297. 2026 [1 Apr 2026] ,,,
wfo-1000089390,urn:lsid:ipni.org:names:77378409-1,Begonia sadtatana,Randi,"Taiwania 71(2): 300. 2026 [1 Apr 2026] , as 'sadtataiana'",,,
wfo-1000089850,urn:lsid:ipni.org:names:77379204-1,Begonia hanhhoae,"C.W.Lin, V.C.Nguyen, Vuong & Aver.",Phytotaxa 752(3): 229. 2026 [23 Apr 2026] ,,,
