WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000079436,urn:lsid:ipni.org:names:77358327-1,Cocos sect. Arecastrum,Drude,Fl. Bras. (Martius) 3(2): 402. 1881 [1 Nov 1881] ,,,
wfo-1200111911,urn:lsid:ipni.org:names:77358333-1,Cocos subgen. Arecastrum,(Drude) Becc.,Malpighia 1: 351. 1887 ,,Arecaceae Cocos sect. Arecastrum Drude,(Drude)
wfo-1000079441,urn:lsid:ipni.org:names:77358335-1,Cocos subgen. Glaziova,Becc.,Malpighia 1: 351. 1887 ,,,
wfo-1000079657,urn:lsid:ipni.org:names:77358942-1,Kunthia elatior,(Mart.) Otto & A.Dietr.,Allg. Gartenzeitung 10: 88. 1842 [12 Mar 1842] ,,Arecaceae Chamaedorea elatior Mart.,(Mart.)
