WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1200114920,urn:lsid:ipni.org:names:77369913-1,Eleocharis geniculata var. kundalica,Wad.Khan & Sardesai,Bioinfolet 8(1): 9. 2011 [Mar 2011] ,,,
wfo-1000085178,urn:lsid:ipni.org:names:77369915-1,Eleocharis zatei,Wad.Khan & Lakshmin.,Bioinfolet 8(1): 5. 2011 [Mar 2011] ,,,
wfo-1200114921,urn:lsid:ipni.org:names:77369916-1,Eleocharis atropurpurea var. vengurlaensis,R.I.Shaikh & R.D.Taur,Bioinfolet 8(1): 7. 2011 [Mar 2011] ,,,
wfo-1200115017,urn:lsid:ipni.org:names:77370695-1,Carex humida var. orhonensis,L.Q.Zhao & Y.Xin,Adansonia 47(10): 158. 2025 [30 Jun 2025] [epublished],,,
