WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-4100005784,urn:lsid:ipni.org:names:77362326-1,trib. Cladieae,Nees,Linnaea 9: 297. 1834 ,,,
wfo-4100005783,urn:lsid:ipni.org:names:77362328-1,trib. Fuireneae,Fenzl,Gen. Pl. [Endlicher] 116. 1836 [Dec 1836] ,,,
wfo-4100005781,urn:lsid:ipni.org:names:77362330-1,trib. Rhynchosporeae,Nees,Linnaea 9(3): 294. 1834 ,,,
wfo-0000465230,urn:lsid:ipni.org:names:149650-2,Malacochaete tatora,(Kunth) Nees & Meyen,Cyperaceae 39. 1841 preprinted from Nov. Actorum Acad. Caes. Leop.-Carol. Nat. Cur. 19(Suppl. 1): 90 (1843),,Cyperaceae Scirpus tatora Kunth,(Kunth)
