WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0000517554,urn:lsid:ipni.org:names:77377452-1,Ranunculaceae,Aconitum liljestrandii var. fangianum,(W.T.Wang) Y.Luo & Q.E.Yang,"Acta Phytotax. Sin. 43(4): 367, figs. 24-25. 2005 [late ? 2005] ",Aconitum,,Ranunculaceae Aconitum fangianum W.T.Wang,(W.T.Wang)
wfo-0000517532,urn:lsid:ipni.org:names:77377453-1,Ranunculaceae,Aconitum legendrei var. albovillosum,(F.H.Chen & Y.Liu) Y.Luo & Q.E.Yang,"Acta Phytotax. Sin. 43(4): 358, figs. 19-20. 2005 [late ? 2005] ",Aconitum,,Ranunculaceae Aconitum carmichaelii Debeaux var. albovillosum F.H.Chen & Y.Liu,(F.H.Chen & Y.Liu)
wfo-4100006479,urn:lsid:ipni.org:names:77377463-1,Polygalaceae,Chodatia,(Paiva) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 14. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala subgen. Chodatia Paiva,(Paiva)
wfo-1000088988,urn:lsid:ipni.org:names:77377464-1,Polygalaceae,Chodatia arillata,(Buch.-Ham. ex D.Don) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 14. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala arillata Buch.-Ham. ex D.Don,(Buch.-Ham. ex D.Don)
wfo-1000088989,urn:lsid:ipni.org:names:77377465-1,Polygalaceae,Chodatia globulifera,(Dunn) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 18. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala globulifera Dunn,(Dunn)
wfo-1000088990,urn:lsid:ipni.org:names:77377466-1,Polygalaceae,Chodatia kradungensis,(H.Koyama) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 18. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala kradungensis H.Koyama,(H.Koyama)
wfo-1000088991,urn:lsid:ipni.org:names:77377467-1,Polygalaceae,Chodatia paniculata,(Hassk.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 19. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Chamaebuxus paniculata Hassk.,(Hassk.)
wfo-1000088992,urn:lsid:ipni.org:names:77377468-1,Polygalaceae,Chodatia qii,"(X.L.Yu, J.J.Zhou & A.Liu) J.F.B.Pastore",Ann. Missouri Bot. Gard. 111(1): 19. 2026 [6 Mar 2026] ,Chodatia,,"Polygalaceae Polygala qii X.L.Yu, J.J.Zhou & A.Liu","(X.L.Yu, J.J.Zhou & A.Liu)"
wfo-1000088993,urn:lsid:ipni.org:names:77377469-1,Polygalaceae,Chodatia reinii,(Franch. & Sav.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 19. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala reinii Franch. & Sav.,(Franch. & Sav.)
wfo-1000088994,urn:lsid:ipni.org:names:77377470-1,Polygalaceae,Chodatia sumatrana,(Miq.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 19. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala sumatrana Miq.,(Miq.)
wfo-1000088995,urn:lsid:ipni.org:names:77377471-1,Polygalaceae,Chodatia tonkinensis,(Chodat) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 19. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala tonkinensis Chodat,(Chodat)
wfo-1000088996,urn:lsid:ipni.org:names:77377472-1,Polygalaceae,Chodatia venenosa,(Juss. ex Poir.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 19. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala venenosa Juss. ex Poir.,(Juss. ex Poir.)
wfo-1000088998,urn:lsid:ipni.org:names:77377477-1,Polygalaceae,Chamaebuxus sect. Triclisperma,(Raf.) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 11. 2026 [6 Mar 2026] ,Chamaebuxus,,Polygalaceae Triclisperma Raf.,(Raf.)
wfo-0001403970,urn:lsid:ipni.org:names:77377478-1,Polygalaceae,Polygala arillata f. chartacea,Mukerjee,Bull. Bot. Soc. Bengal 12: 32. 1958 ,Polygala,,,
wfo-1200117713,urn:lsid:ipni.org:names:77377479-1,Polygalaceae,Chodatia arillata var. laevicarpa,(R.N.Banerjee & G.S.Giri) J.F.B.Pastore,Ann. Missouri Bot. Gard. 111(1): 18. 2026 [6 Mar 2026] ,Chodatia,,Polygalaceae Polygala arillata Buch.-Ham. ex D.Don var. laevicarpa R.N.Banerjee & G.S.Giri,(R.N.Banerjee & G.S.Giri)
