WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000088145,urn:lsid:ipni.org:names:77376267-1,Crassulaceae,Phedimus involucratus,(M.Bieb.) V.V.Byalt & L.V.Orlova,Cat. Type Spec. Crassulaceae St. Petersburg 196. 2025 ,Phedimus,,Crassulaceae Sedum involucratum M.Bieb.,(M.Bieb.)
wfo-1000088146,urn:lsid:ipni.org:names:77376268-1,Crassulaceae,Rochea obtusa,(Haw.) V.V.Byalt,Cat. Type Spec. Crassulaceae St. Petersburg 72. 2025 ,Rochea,,Crassulaceae Crassula obtusa Haw.,(Haw.)
wfo-1200038634,urn:lsid:ipni.org:names:77376385-1,Scrophulariaceae,Phelypaea trivalvis var. lanuginosa,Lipsky,"Zap. Kievsk. Obshch. Estestvoisp. 11(2): 16. 1891 , as 'Phelipaea trivalvis β. lanuginosa'",Phelypaea,,,
wfo-1000088142,urn:lsid:ipni.org:names:77376393-1,Lauraceae,Tetranthera amara,(Blume) Nees,Pl. Asiat. Rar. 3(11): 30. 1832 [15 Jun 1832] ,Tetranthera,,Lauraceae Litsea amara Blume,(Blume)
wfo-1200117000,urn:lsid:ipni.org:names:77376394-1,Alliaceae,Allium decipiens var. longepedicellatum,Pacz.,Otchet Trudy Odessk. Otd. Rossijsk. Imp. Obshch. Sadov. 80. 1891 ,Allium,,,
wfo-1000088148,urn:lsid:ipni.org:names:77376395-1,Primulaceae,Primula daguanensis,"W.B.Ju, Bo Xu & J.Ru",PhytoKeys 270: 225. 2026 [3 Feb 2026] [epublished],Primula,,,
wfo-1000088151,urn:lsid:ipni.org:names:77376398-1,Cyclanthaceae,Dicranopygium elongatum,Álvarez-Corr. & Tuberq.,Phytotaxa 740(1): 34. 2026 [3 Feb 2026] [epublished],Dicranopygium,,,
wfo-1000088152,urn:lsid:ipni.org:names:77376399-1,Cyclanthaceae,Dicranopygium piedemontanum,Tuberq. & D.Sanín,Phytotaxa 740(1): 38. 2026 [3 Feb 2026] [epublished],Dicranopygium,,,
wfo-1000088153,urn:lsid:ipni.org:names:77376400-1,Cyclanthaceae,Dicranopygium rio-clarense,Álvarez-Corr. & Tuberq.,Phytotaxa 740(1): 42. 2026 [3 Feb 2026] [epublished],Dicranopygium,,,
wfo-1200117002,urn:lsid:ipni.org:names:77376414-1,Liliaceae,Lilium [infragen.unranked] Cardiocrinum,Endl.,Gen. Pl. [Endlicher] 141. 1836 [Dec 1836] ,Lilium,,,
wfo-4100006465,urn:lsid:ipni.org:names:77376415-1,Liliaceae,Cardiocrinum,(Endl.) Makino,Bot. Mag. (Tokyo) 27(no. 318): 124. 1913 [Jun 1913] ,Cardiocrinum,isonym,Liliaceae Lilium [infragen.unranked] Cardiocrinum Endl.,(Endl.)
wfo-4100006437,urn:lsid:ipni.org:names:77376416-1,Rosaceae,× Arilundia,B.Bock,Bull. Soc. Bot. Centre-Ouest 56: 86. 2026 [2025 publ. Jan 2026] ,Arilundia,,,
wfo-1000088164,urn:lsid:ipni.org:names:77376417-1,Araliaceae,Cussonia woodleyorum,van Jaarsv.,"Avonia 43(1): 47. 2025 , as 'woodleyi'",Cussonia,,,
wfo-0001008603,urn:lsid:ipni.org:names:77376418-1,Rosaceae,Sorbus chamaemespilus var. arioides,Godet,Fl. Jura 229. 1852 ,Sorbus,,,
wfo-1000088165,urn:lsid:ipni.org:names:77376419-1,Rosaceae,× Arilundia arioides,(Godet) B.Bock,Bull. Soc. Bot. Centre-Ouest 56: 86. 2026 [2025 publ. Jan 2026] ,Arilundia,,Rosaceae Sorbus chamaemespilus Crantz var. arioides Godet,(Godet)
wfo-1000088166,urn:lsid:ipni.org:names:77376420-1,Rosaceae,× Tormaria tomentella,(Gand.) B.Bock,Bull. Soc. Bot. Centre-Ouest 56: 86. 2026 [2025 publ. Jan 2026] ,Tormaria,,Rosaceae Sorbus tomentella Gand.,(Gand.)
wfo-1200117003,urn:lsid:ipni.org:names:77376421-1,Rosaceae,× Arsorbus thuringiaca nothosubsp. boscii,(Vivant ex Gamisans) B.Bock,Bull. Soc. Bot. Centre-Ouest 56: 87. 2026 [2025 publ. Jan 2026] ,Arsorbus,,Rosaceae Sorbus × boscii Vivant ex Gamisans,(Vivant ex Gamisans)
wfo-1000088169,urn:lsid:ipni.org:names:77376425-1,Asclepiadaceae,Heterostemma tongbiguanense,"R.C.Yang, Y.Q.Yin & J.Y.Shen",Phytotaxa 740(2): 213. 2026 [5 Feb 2026] ,Heterostemma,,,
wfo-1000088171,urn:lsid:ipni.org:names:77376427-1,Apiaceae,Physospermopsis deqinensis,X.L.Guo & X.J.He,Phytotaxa 740(2): 173. 2026 [5 Feb 2026] ,Physospermopsis,,,
wfo-1000088172,urn:lsid:ipni.org:names:77376428-1,Araceae,Amorphophallus calladoi,"R.Bustam., M.N.Tamayo & Pelser",Phytotaxa 740(2): 218. 2026 [5 Feb 2026] ,Amorphophallus,,,
wfo-0001429523,urn:lsid:ipni.org:names:77376433-1,Violaceae,Viola × intersita,Beck,Verh. K. K. Zool.-Bot. Ges. Wien 41: 642. 1891 [end Jul 1891] ,Viola,,,
wfo-1000088456,urn:lsid:ipni.org:names:77376437-1,Eriocaulaceae,Eriocaulon pedunculatum,Körn.,"Fl. Bras. (Martius) 3(1): 387, sphalm. 1863 [10 Jul 1863] ",Eriocaulon,,,
wfo-1000088458,urn:lsid:ipni.org:names:77376446-1,Gentianaceae,Gentiana ser. Fimbricorona,(T.N.Ho) Adr.Favre et al.,"Taxon 69(6): 1225 (fig. 1), 1230 (Table 1, column 1). 2020 [29 Nov 2020] (epublished)",Gentiana,,Gentianaceae Gentiana sect. Fimbricorona T.N.Ho,(T.N.Ho)
wfo-1000088178,urn:lsid:ipni.org:names:77376447-1,Liliaceae,Lilium subgen. Notholirion,Baker,"Gard. Chron. 1871(no. 4): 104, 3rd column. [28 Jan 1871] ",Lilium,,,
wfo-1000088181,urn:lsid:ipni.org:names:77376454-1,Ranunculaceae,Actaea rhodostigma,"J.T.Scholten, A.K.Sprenger & C.D.Specht",J. Torrey Bot. Soc. 153(2): 9. figs. 1-8. 2026 [20 Jan 2026] (epublished),Actaea,,,
wfo-1000088182,urn:lsid:ipni.org:names:77376455-1,Euphorbiaceae,Croton buiquensis,J.C.P.Oliveira,"PeerJ 14(e20718): 6, figs. 1-5. 2026 [6 Feb 2026] (epublished)",Croton,,,
wfo-0000742079,urn:lsid:ipni.org:names:77376456-1,Ranunculaceae,Anemone taraoi var. morii,Yamam.,Icon. Pl. Formosan. Suppl. 3: 26. 1927 ]10 Apr m1927] ,Anemone,,,
wfo-1000088184,urn:lsid:ipni.org:names:77376559-1,Balsaminaceae,Impatiens ngariensis,"S.Peng, G.W.Hu & Q.F.Wang",PhytoKeys 271: 3. 2026 [10 Feb 2026] ,Impatiens,,,
wfo-1000088187,urn:lsid:ipni.org:names:77376566-1,Convallariaceae,Heteropolygonatum xishuiense,Xiao Wang bis & M.Q.Han,"PhytoKeys 271: 75. 2026 [10 Feb 2026] , as 'xishuiensis'",Heteropolygonatum,Termination of specific epithet amended as per Art. 23.5. ICN (2025).,,
wfo-4100006438,urn:lsid:ipni.org:names:77376567-1,Convallariaceae,trib. Uvularieae,Meisn.,Pl. Vasc. Gen. Comm.: 306. 1842 [17-20 Aug 1842] ,,,,
wfo-4100006439,urn:lsid:ipni.org:names:77376568-1,Uvulariaceae,Uvulariaceae,Kunth,Enum. Pl. [Kunth] 4: 199. 1843 [17-19 Jul 1843] (as 'Uvularieae'),,nom. cons.,,
wfo-1000088189,urn:lsid:ipni.org:names:77376571-1,Loranthaceae,Aetanthus confusus,S.M.Arango & J.S.Murillo,Phytotaxa 740(3): 284. 2026 [10 Feb 2026] ,Aetanthus,,,
wfo-1000088191,urn:lsid:ipni.org:names:77376573-1,Myristicaceae,Compsoneura guanentana,Villanueva & D.Caball.,Phytotaxa 740(3): 264. 2026 [10 Feb 2026] ,Compsoneura,,,
wfo-1000088192,urn:lsid:ipni.org:names:77376574-1,Piperaceae,Peperomia accentus,Hurt.-Rev. & Amancio,Phytotaxa 740(3): 239. 2026 [10 Feb 2026] ,Peperomia,,,
wfo-4100006441,urn:lsid:ipni.org:names:77376590-1,Convallariaceae,subtrib. Uvulariinae,A.Gray ex Endl.,"Gen. Pl. [Endlicher] pt. 17: 1357, right column. 1840 [Oct 1840] (as 'Uvularieae')",,,,
wfo-4100006442,urn:lsid:ipni.org:names:77376591-1,Convallariaceae,subfam. Uvularioideae,Torr.,Fl. New York 2: 319. 1843 [post  July 1843] ,,,,
wfo-1000088206,urn:lsid:ipni.org:names:77376592-1,Valerianaceae,Valeriana umbellifera,"A.Cádiz-Véliz, A.E.Villarroel & Nic.García",Phytotaxa 741(1): 60. 2026 [12 Feb 2026] ,Valeriana,,,
wfo-1000088460,urn:lsid:ipni.org:names:77376593-1,Convallariaceae,Uvularia leschenaultiana,Wall. ex Royle,"Ill. Bot. Himal. Mts. [Royle] pt. 10: t. 96, fig. 2. 1839 [Feb 1839] ; addit. publ. pt. 11: 386. ante Jul 1840",Uvularia,,,
wfo-1000088212,urn:lsid:ipni.org:names:77376601-1,Lauraceae,Machilus endothrix,(Kosterm.) R.Kr.Singh & Sanjeet Kumar,J. Biodivers. Conservation 10(1): 34. 2026 [28 Jan 2026] ,Machilus,,Lauraceae Persea endothrix Kosterm.,(Kosterm.)
wfo-1000088462,urn:lsid:ipni.org:names:77376610-1,Bromeliaceae,Pitcairnia werffii,(H.Luther) Sanjeet Kumar & R.Kr.Singh,J. Biodivers. Conservation 10(1): 81. 2026 [10 Feb 2026] ,Pitcairnia,,Bromeliaceae Pepinia werffii H.Luther,(H.Luther)
wfo-1000088220,urn:lsid:ipni.org:names:77376611-1,Lamiaceae,Callicarpa ogasawarensis,R.Kr.Singh,J. Biodivers. Conservation 10(1): 83. 2026 [10 Feb 2026] ,Callicarpa,,,
wfo-1200026332,urn:lsid:ipni.org:names:77376615-1,Lauraceae,Litsea machilifolia var. angustifolia,Gamble,"J. Asiat. Soc. Bengal, Pt. 2, Nat. Hist. 75(1): 172. 1912 ",Litsea,,,
wfo-1200026499,urn:lsid:ipni.org:names:77376616-1,Lauraceae,Cylicodaphne myristicifolia var. acutata,Meisn.,Prodr. [A. P. de Candolle] 15(1): 209. 1864 ,Cylicodaphne,,,
wfo-1000088463,urn:lsid:ipni.org:names:77376619-1,Euphorbiaceae,Dalechampia alata,Müll.Arg.,Linnaea 34(Heft 2): 220. 1865 [Jul 1865] ,Dalechampia,isonym,,
wfo-0000771835,urn:lsid:ipni.org:names:77376620-1,Melanthiaceae,Veratrum nigrum var. japonicum,Baker,"J. Linn. Soc., Bot. 17: 472. 1879 ",Veratrum,,,
