WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089406,urn:lsid:ipni.org:names:77378581-1,Asclepiadaceae,Ibatia oxypetaloides,"(E.Fourn.) Morillo, Liede & Meve",Taxon 75(2)-e70122: 35. 2026 [7 Apr 2026] ,Ibatia,,Asclepiadaceae Gyrostelma oxypetaloides E.Fourn.,(E.Fourn.)
wfo-1000089407,urn:lsid:ipni.org:names:77378582-1,Asclepiadaceae,Ibatia suberosa,"(Malme) Morillo, Liede & Meve",Taxon 75(2)-e70122: 35. 2026 [7 Apr 2026] ,Ibatia,,Asclepiadaceae Pseudibatia suberosa Malme,(Malme)
wfo-1000089409,urn:lsid:ipni.org:names:77378584-1,Asclepiadaceae,Odontostephana alabamensis,"(Vail) Morillo, Liede & Meve",Taxon 75(2)-e70122: 41. 2026 [7 Apr 2026] ,Odontostephana,,Asclepiadaceae Vincetoxicum alabamense Vail,(Vail)
wfo-1000089410,urn:lsid:ipni.org:names:77378585-1,Asclepiadaceae,Odontostephana reticulata,"(Engelm. ex A.Gray) Morillo, Liede & Meve",Taxon 75(2)-e70122: 41. 2026 [7 Apr 2026] ,Odontostephana,,Asclepiadaceae Gonolobus reticulatus Engelm. ex A.Gray,(Engelm. ex A.Gray)
wfo-1000089414,urn:lsid:ipni.org:names:77378589-1,Asclepiadaceae,Poicillopsis pentactina,"(Krings) Morillo, Liede & Meve",Taxon 75(2)-e70122: 47. 2026 [7 Apr 2026] ,Poicillopsis,,Asclepiadaceae Matelea pentactina Krings,(Krings)
wfo-1000089432,urn:lsid:ipni.org:names:77378608-1,Euphorbiaceae,Ewangoa cardiophora,O.Lachenaud & Barberá,Taxon 75(2)-e70094: 3. 2026 [30 Mar 2026] ,Ewangoa,,,
wfo-1000089433,urn:lsid:ipni.org:names:77378609-1,Ranunculaceae,Cymatenemion hallii,(A.Gray) Wei Wang & K.L.Xiang,Taxon 75(2)-e70099: 13. 2026 [19 Mar 2026] ,Cymatenemion,,Ranunculaceae Isopyrum hallii A.Gray,(A.Gray)
wfo-1000089434,urn:lsid:ipni.org:names:77378610-1,Ranunculaceae,Cymatenemion raddeanum,(Regel) Wei Wang & K.L.Xiang,Taxon 75(2)-e70099: 13. 2026 [19 Mar 2026] ,Cymatenemion,,Ranunculaceae Enemion raddeanum Regel,(Regel)
wfo-1000089435,urn:lsid:ipni.org:names:77378611-1,Ranunculaceae,Neoenemion occidentale,(Hook. & Arn.) Wei Wang & K.L.Xiang,Taxon 75(2)-e70099: 14. 2026 [19 Mar 2026] ,Neoenemion,,Ranunculaceae Isopyrum occidentale Hook. & Arn.,(Hook. & Arn.)
wfo-1000089436,urn:lsid:ipni.org:names:77378612-1,Ranunculaceae,Neoenemion savilei,(Calder & Roy L.Taylor) Wei Wang & K.L.Xiang,Taxon 75(2)-e70099: 14. 2026 [19 Mar 2026] ,Neoenemion,,Ranunculaceae Isopyrum savilei Calder & Roy L.Taylor,(Calder & Roy L.Taylor)
wfo-1000089437,urn:lsid:ipni.org:names:77378613-1,Ranunculaceae,Neoenemion stipitatum,(A.Gray) Wei Wang & K.L.Xiang,Taxon 75(2)-e70099: 14. 2026 [19 Mar 2026] ,Neoenemion,,Ranunculaceae Isopyrum stipitatum A.Gray,(A.Gray)
wfo-1000089438,urn:lsid:ipni.org:names:77378614-1,Ranunculaceae,Paranemone deltoidea,"(Douglas) Wei Wang, Erst & K.L.Xiang",Taxon 75(2)-e70099: 14. 2026 [19 Mar 2026] ,Paranemone,,Ranunculaceae Anemone deltoidea Douglas,(Douglas)
wfo-1000089439,urn:lsid:ipni.org:names:77378615-1,Ranunculaceae,Oxygraphis sikkimensis,(W.W.Sm.) Wei Wang & K.L.Xiang,Taxon 75(2)-e70099: 14. 2026 [19 Mar 2026] ,Oxygraphis,isonym,Ranunculaceae Paroxygraphis sikkimensis W.W.Sm.,(W.W.Sm.)
wfo-1000089440,urn:lsid:ipni.org:names:77378617-1,Capparaceae,Capparidastrum atlanticum,Soares Neto & J.G.Jardim,Rodriguésia 76(e00242025): 2. ,Capparidastrum,,,
wfo-1000089450,urn:lsid:ipni.org:names:77378628-1,Sterculiaceae,Ayenia nathaliae,Dorr,PhytoKeys 273: 120. 2026 [15 Apr 2026] ,Ayenia,,,
wfo-1000089949,urn:lsid:ipni.org:names:77378629-1,Sterculiaceae,Ayenia idroboi,(Cristóbal) Dorr,PhytoKeys 273: 124. 2026 [15 Apr 2026] ,Ayenia,,Sterculiaceae Byttneria idroboi Cristóbal,(Cristóbal)
wfo-1000089950,urn:lsid:ipni.org:names:77378630-1,Sterculiaceae,Ayenia macrophylla,(Kunth) Dorr,PhytoKeys 273: 124. 2026 [15 Apr 2026] ,Ayenia,,Sterculiaceae Byttneria macrophylla Kunth,(Kunth)
wfo-1000089951,urn:lsid:ipni.org:names:77378631-1,Sterculiaceae,Ayenia morifolia,(Triana & Planch.) Dorr,PhytoKeys 273: 125. 2026 [15 Apr 2026] ,Ayenia,,Sterculiaceae Byttneria morifolia Triana & Planch.,(Triana & Planch.)
wfo-1000089460,urn:lsid:ipni.org:names:77378643-1,Lamiaceae,Teucrium ibnalbaytarii,"R.Roselló, P.P.Ferrer, Riera, Gómez Nav. & Peris","Fl. Montiber. 91: 144. 2025 [Apr 2025] , as 'ibnalbaytari'",Teucrium,Termination of specific epithet amended as per Art. 60.8. ICN (2025).,,
wfo-1000089461,urn:lsid:ipni.org:names:77378646-1,Dilleniaceae,Dillenia nagalim,S.Kashung & K.Eshuo,Phytotaxa 751(2): 59. 2026 [15 Apr 2026] ,Dillenia,,,
wfo-1000089462,urn:lsid:ipni.org:names:77378647-1,Araceae,Thaumatophyllum calcicola,"A.Pereira, Rando & Sakur.",Phytotaxa 751(2): 67. 2026 [15 Apr 2026] ,Thaumatophyllum,,,
wfo-4100006525,urn:lsid:ipni.org:names:77378648-1,Araceae,Vandua,Z.X.Ma,Phytotaxa 751(2): 77. 2026 [15 Apr 2026] ,Vandua,,,
wfo-1000089463,urn:lsid:ipni.org:names:77378649-1,Araceae,Vandua evrardii,(Gagnep. ex V.D.Nguyen) Z.X.Ma,Phytotaxa 751(2): 84. 2026 [15 Apr 2026] ,Vandua,,Araceae Alocasia evrardii Gagnep. ex V.D.Nguyen,(Gagnep. ex V.D.Nguyen)
wfo-1000089464,urn:lsid:ipni.org:names:77378650-1,Araceae,Vandua vietnamensis,(V.D.Nguyen & de Kok) Z.X.Ma,Phytotaxa 751(2): 86. 2026 [15 Apr 2026] ,Vandua,,Araceae Alocasia vietnamensis V.D.Nguyen & de Kok,(V.D.Nguyen & de Kok)
wfo-4100006526,urn:lsid:ipni.org:names:77378651-1,Araceae,Cryptocasia,Z.X.Ma,Phytotaxa 751(2): 86. 2026 [15 Apr 2026] ,Cryptocasia,,,
wfo-1000089465,urn:lsid:ipni.org:names:77378652-1,Araceae,Cryptocasia fallax,(Schott) Z.X.Ma,Phytotaxa 751(2): 94. 2026 [15 Apr 2026] ,Cryptocasia,,Araceae Colocasia fallax Schott,(Schott)
wfo-1000089466,urn:lsid:ipni.org:names:77378653-1,Araceae,Cryptocasia affinis,(Schott) Z.X.Ma,Phytotaxa 751(2): 98. 2026 [15 Apr 2026] ,Cryptocasia,,Araceae Colocasia affinis Schott,(Schott)
wfo-1000089470,urn:lsid:ipni.org:names:77378657-1,Balsaminaceae,Impatiens zayuensis,"S.Peng, G.W.Hu & Q.F.Wang",Phytotaxa 751(2): 168. 2026 [15 Apr 2026] ,Impatiens,,,
wfo-1000089472,urn:lsid:ipni.org:names:77378659-1,Araceae,Anthurium bonetiense,"Felipe, Nadruz & J.M.A.Braga",Phytotaxa 751(2): 177. 2026 [15 Apr 2026] ,Anthurium,,,
wfo-1000089473,urn:lsid:ipni.org:names:77378660-1,Araceae,Anthurium marqueteanum,Felipe & Nadruz,"Phytotaxa 751(2): 179. 2026 [15 Apr 2026] , as 'marquetianum'",Anthurium,,,
wfo-1000089474,urn:lsid:ipni.org:names:77378662-1,Araceae,Amorphophallus rosidii,Yuzammi & Hett.,Phytotaxa 751(2): 187. 2026 [15 Apr 2026] ,Amorphophallus,,,
