WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087424,urn:lsid:ipni.org:names:77374672-1,Araceae,Philodendron cornejoi,Croat & Mines,Aroideana 48(2): 49. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087425,urn:lsid:ipni.org:names:77374673-1,Araceae,Philodendron corazonense,Croat,Aroideana 48(2): 52. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087426,urn:lsid:ipni.org:names:77374674-1,Araceae,Philodendron cuyabenoense,Croat,Aroideana 48(2): 54. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087427,urn:lsid:ipni.org:names:77374675-1,Araceae,Philodendron decipiens,Croat & Mines,Aroideana 48(2): 56. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087428,urn:lsid:ipni.org:names:77374676-1,Araceae,Philodendron diazii,Croat & Mines,Aroideana 48(2): 60. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087429,urn:lsid:ipni.org:names:77374677-1,Araceae,Philodendron dodbenziorum,Croat,Aroideana 48(2): 62. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087430,urn:lsid:ipni.org:names:77374678-1,Araceae,Philodendron echeverryae,Croat,Aroideana 48(2): 65. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087431,urn:lsid:ipni.org:names:77374679-1,Araceae,Philodendron espinoense,Croat & Mines,Aroideana 48(2): 68. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087432,urn:lsid:ipni.org:names:77374680-1,Araceae,Philodendron fusagasugense,Croat,Aroideana 48(2): 73. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087433,urn:lsid:ipni.org:names:77374681-1,Araceae,Philodendron gabmontoyae,Croat,Aroideana 48(2): 75. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-0001043771,urn:lsid:ipni.org:names:77374682-1,Araceae,Philodendron galapagoense,Croat & Mines,Aroideana 48(2): 78. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087434,urn:lsid:ipni.org:names:77374683-1,Araceae,Philodendron galeanoae,Croat & M.M.Mora,Aroideana 48(2): 80. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087435,urn:lsid:ipni.org:names:77374684-1,Araceae,Philodendron gamboae,Croat & Mines,Aroideana 48(2): 83. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087436,urn:lsid:ipni.org:names:77374685-1,Araceae,Philodendron gracilipedunculatum,Croat,Aroideana 48(2): 85. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087437,urn:lsid:ipni.org:names:77374686-1,Araceae,Philodendron herbertsmithii,Croat,Aroideana 48(2): 90. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087438,urn:lsid:ipni.org:names:77374687-1,Araceae,Philodendron hoyosii,Croat,Aroideana 48(2): 92. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087444,urn:lsid:ipni.org:names:77374693-1,Araceae,Philodendron jacomei,"Croat, M.M.Mora & Mines",Aroideana 48(2): 95. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-0001043845,urn:lsid:ipni.org:names:77374694-1,Araceae,Philodendron jeguadasense,Croat,Aroideana 48(2): 98. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087445,urn:lsid:ipni.org:names:77374695-1,Araceae,Philodendron juancarlosii,Croat,Aroideana 48(2): 101. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087446,urn:lsid:ipni.org:names:77374696-1,Araceae,Philodendron macdougalii,Croat,Aroideana 48(2): 103. 2025 [1 Sep 2025] [epublished],Philodendron,,,
wfo-1000087447,urn:lsid:ipni.org:names:77374697-1,Araceae,Philodendron maraense,Croat & Mines,Aroideana 48(2): 107. 2025 [1 Sep 2025] [epublished],Philodendron,,,
