WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000079129,urn:lsid:ipni.org:names:77376902-1,Sonchus ser. Oleracei,Kirp.,Novosti Sist. Vyssh. Rast. 342. 1964 ,Sonchus,,,
wfo-1000088482,urn:lsid:ipni.org:names:77377012-1,Taraxacum integrifolium,Sameer Patil & Sushil K.Singh,Nelumbo 66(2): 9. 2024 [31 Dec 2024] ,Taraxacum,nom. illeg. later homonym    Contrary to Art. 53.1.,,
wfo-1000088288,urn:lsid:ipni.org:names:77377013-1,Taraxacum nilgiricum,Sameer Patil & Sushil K.Singh,Nelumbo 66(2): 15. 2024 [31 Dec 2024] ,Taraxacum,,,
