WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-0001128985,urn:lsid:ipni.org:names:77361746-1,Pyrola grandiflora subsp. norvegica,(Knaben) Á.Löve & D.Löve,Bot. Not. 114(1): 54. 1961 ,,Ericaceae Pyrola norvegica Knaben,(Knaben)
wfo-1000081534,urn:lsid:ipni.org:names:77361865-1,Rigiolepis bungeputih,Mustaqim & M.N.Tamayo,Telopea 29: 120. 2025 [7 May 2025] [epublished],,,
wfo-1000081690,urn:lsid:ipni.org:names:77362198-1,Vaccinium majusculum,Chass. ex Fridl.,"BIOM 4(1): 37. 2023 [2 Jul 2023] , as 'majuscula' [epublished]",,,
