WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000079417,urn:lsid:ipni.org:names:77358307-1,Primulina liangshengyui,R.F.Li & L.Ding,J. Trop. Subtrop. Bot. 32(5): 630. 2024 [29 Sep 2024] [epublished],,,
wfo-1000079764,urn:lsid:ipni.org:names:77359322-1,Primulina nanlingensis,J.C.Luo & H.F.Chen,PhytoKeys 254: 103. 2025 [26 Mar 2025] [epublished],,,
wfo-1000079833,urn:lsid:ipni.org:names:77359652-1,Gesneria bethmannii,hort. ex Otto & A.Dietr.,"Allg. Gartenzeitung 12: 321. 1844 [20 Apr 1844] , as 'Gesnera Bethmanni'",,,
