WFOID,IPNID,scientificName,authorship,namePublishedin,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000089575,urn:lsid:ipni.org:names:77378891-1,Hydrogalium constrictum,(Chaub.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium constrictum Chaub.,(Chaub.)
wfo-1000089576,urn:lsid:ipni.org:names:77378892-1,Hydrogalium debile,(Desv.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium debile Desv.,(Desv.)
wfo-1000089577,urn:lsid:ipni.org:names:77378893-1,Hydrogalium elongatum,(C.Presl) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium elongatum C.Presl,(C.Presl)
wfo-1000089578,urn:lsid:ipni.org:names:77378894-1,Hydrogalium innocuum,(Miq.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium innocuum Miq.,(Miq.)
wfo-1000089579,urn:lsid:ipni.org:names:77378895-1,Hydrogalium karakulense,(Pobed.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium karakulense Pobed.,(Pobed.)
wfo-1000089580,urn:lsid:ipni.org:names:77378896-1,Hydrogalium labradoricum,(Wiegand) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium tinctorium L. var. labradoricum Wiegand,(Wiegand)
wfo-1000089581,urn:lsid:ipni.org:names:77378897-1,Hydrogalium obtusum,(Bigelow) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium obtusum Bigelow,(Bigelow)
wfo-1000089582,urn:lsid:ipni.org:names:77378898-1,Hydrogalium palustre,(L.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium palustre L.,(L.)
wfo-1000089583,urn:lsid:ipni.org:names:77378899-1,Hydrogalium scioanum,(Chiov.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium scioanum Chiov.,(Chiov.)
wfo-1000089584,urn:lsid:ipni.org:names:77378900-1,Hydrogalium stenophyllum,(Baker) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium stenophyllum Baker,(Baker)
wfo-1000089585,urn:lsid:ipni.org:names:77378901-1,Hydrogalium tanganyikense,(Ehrend. & Verdc.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium tanganyikense Ehrend. & Verdc.,(Ehrend. & Verdc.)
wfo-1000089586,urn:lsid:ipni.org:names:77378902-1,Hydrogalium trianae,(Wernham) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium trianae Wernham,(Wernham)
wfo-1000089587,urn:lsid:ipni.org:names:77378903-1,Hydrogalium trifidum,(L.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium trifidum L.,(L.)
wfo-1000089592,urn:lsid:ipni.org:names:77378911-1,Jubogalium canum,(Req. ex DC.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium canum Req. ex DC.,(Req. ex DC.)
wfo-1000089593,urn:lsid:ipni.org:names:77378912-1,Jubogalium cappadocicum,(Boiss.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium cappadocicum Boiss.,(Boiss.)
wfo-1000089594,urn:lsid:ipni.org:names:77378913-1,Jubogalium cassium,(Boiss.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium cassium Boiss.,(Boiss.)
wfo-1000089595,urn:lsid:ipni.org:names:77378914-1,Jubogalium dumosum,(Boiss.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium dumosum Boiss.,(Boiss.)
wfo-1000089596,urn:lsid:ipni.org:names:77378915-1,Tarenna khoonmengiana,Junhao Chen & Cheah,Sandakania 27: 50. 2025 [31 Dec 2025] ,,,
wfo-1000089597,urn:lsid:ipni.org:names:77378916-1,Jubogalium exstipulatum,(P.H.Davis) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium exstipulatum P.H.Davis,(P.H.Davis)
wfo-1000089598,urn:lsid:ipni.org:names:77378917-1,Jubogalium graecum,(L.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium graecum L.,(L.)
wfo-1000089599,urn:lsid:ipni.org:names:77378918-1,Jubogalium jemense,(Kotschy) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium jemense Kotschy,(Kotschy)
wfo-1000089600,urn:lsid:ipni.org:names:77378919-1,Jubogalium jungermannioides,(Boiss.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium jungermannioides Boiss.,(Boiss.)
wfo-1000089601,urn:lsid:ipni.org:names:77378920-1,Jubogalium kahelianum,(Deflers) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium kahelianum Deflers,(Deflers)
wfo-1000089602,urn:lsid:ipni.org:names:77378922-1,Jubogalium pamphylicum,(Boiss. & Heldr.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium pamphylicum Boiss. & Heldr.,(Boiss. & Heldr.)
wfo-1000089603,urn:lsid:ipni.org:names:77378924-1,Jubogalium parvulum,(Hub.-Mor. ex Ehrend. & Schönb.-Tem.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium parvulum Hub.-Mor. ex Ehrend. & Schönb.-Tem.,(Hub.-Mor. ex Ehrend. & Schönb.-Tem.)
wfo-1000089604,urn:lsid:ipni.org:names:77378926-1,Timonius benomensis,P.K.Hoo & Sugumaran,Sandakania 27: 64. 2025 [31 Dec 2025] ,,,
wfo-1000089605,urn:lsid:ipni.org:names:77378927-1,Jubogalium petrae,(Oliv. ex Hart) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium petrae Oliv. ex Hart,(Oliv. ex Hart)
wfo-1000089606,urn:lsid:ipni.org:names:77378928-1,Timonius bubuensis,P.K.Hoo & Sugumaran,Sandakania 27: 66. 2025 [31 Dec 2025] ,,,
wfo-1000089607,urn:lsid:ipni.org:names:77378929-1,Jubogalium polatliense,(H.Duman & E.Doğan) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium polatliense H.Duman & E.Doğan,(H.Duman & E.Doğan)
wfo-1000089608,urn:lsid:ipni.org:names:77378930-1,Jubogalium setaceum,(Lam.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium setaceum Lam.,(Lam.)
wfo-1000089609,urn:lsid:ipni.org:names:77378931-1,Jubogalium sinaicum,(Delile ex Decne.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Asperula sinaica Delile ex Decne.,(Delile ex Decne.)
wfo-1000089610,urn:lsid:ipni.org:names:77378932-1,Jubogalium thiebautii,(Ehrend.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium thiebautii Ehrend.,(Ehrend.)
wfo-1000089611,urn:lsid:ipni.org:names:77378933-1,Trichogalium albescens,(Hook.f.) Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,Rubiaceae Galium albescens Hook.f.,(Hook.f.)
wfo-1000089612,urn:lsid:ipni.org:names:77378934-1,Timonius khoonmengii,P.K.Hoo & Sugumaran,Sandakania 27: 76. 2025 [31 Dec 2025] ,,,
wfo-1000089613,urn:lsid:ipni.org:names:77378935-1,Timonius rarissimus,P.K.Hoo & Sugumaran,Sandakania 27: 83. 2025 [31 Dec 2025] ,,,
wfo-1000089614,urn:lsid:ipni.org:names:77378936-1,Trichogalium ambiguum,Kadereit & Schneew.,Taxon 75(2)-e70119: 22. 2026 [30 Mar 2026] ,,,
wfo-1000089615,urn:lsid:ipni.org:names:77378937-1,Pyrostria wongii,"Mahyuni, Arriola & L.Neo",Sandakania 27: 91. 2025 [31 Dec 2025] ,,,
wfo-1000089616,urn:lsid:ipni.org:names:77378938-1,Pyrostria sabahensis,Mahyuni & L.Neo,Sandakania 27: 94. 2025 [31 Dec 2025] ,,,
wfo-1000089617,urn:lsid:ipni.org:names:77378939-1,Trichogalium amblyophyllum,(Schrenk ex Fisch. & C.A.Mey.) Kadereit & Schneew.,Taxon 75(2)-e70119: 23. 2026 [30 Mar 2026] ,,Rubiaceae Galium amblyophyllum Schrenk ex Fisch. & C.A.Mey.,(Schrenk ex Fisch. & C.A.Mey.)
wfo-1000089618,urn:lsid:ipni.org:names:77378940-1,Trichogalium amurense,(Pobed.) Kadereit & Schneew.,Taxon 75(2)-e70119: 23. 2026 [30 Mar 2026] ,,Rubiaceae Galium amurense Pobed.,(Pobed.)
wfo-1000089619,urn:lsid:ipni.org:names:77378941-1,Trichogalium andrewsii,(A.Gray) Kadereit & Schneew.,Taxon 75(2)-e70119: 23. 2026 [30 Mar 2026] ,,Rubiaceae Galium andrewsii A.Gray,(A.Gray)
wfo-1000089620,urn:lsid:ipni.org:names:77378942-1,Trichogalium angulosum,(A.Gray) Kadereit & Schneew.,Taxon 75(2)-e70119: 23. 2026 [30 Mar 2026] ,,Rubiaceae Galium angulosum A.Gray,(A.Gray)
wfo-1000089621,urn:lsid:ipni.org:names:77378943-1,Trichogalium antarcticum,(Hook.f.) Kadereit & Schneew.,Taxon 75(2)-e70119: 23. 2026 [30 Mar 2026] ,,Rubiaceae Galium antarcticum Hook.f.,(Hook.f.)
wfo-1000089622,urn:lsid:ipni.org:names:77378944-1,Trichogalium araucanum,(Phil.) Kadereit & Schneew.,Taxon 75(2)-e70119: 23. 2026 [30 Mar 2026] ,,Rubiaceae Galium araucanum Phil.,(Phil.)
wfo-1000089623,urn:lsid:ipni.org:names:77378945-1,Trichogalium argense,(Dempster & Ehrend.) Kadereit & Schneew.,Taxon 75(2)-e70119: 23. 2026 [30 Mar 2026] ,,Rubiaceae Galium argense Dempster & Ehrend.,(Dempster & Ehrend.)
wfo-1000089624,urn:lsid:ipni.org:names:77378946-1,Trichogalium arkansanum,(A.Gray) Kadereit & Schneew.,Taxon 75(2)-e70119: 23. 2026 [30 Mar 2026] ,,Rubiaceae Galium arkansanum A.Gray,(A.Gray)
wfo-1000089625,urn:lsid:ipni.org:names:77378947-1,Trichogalium articulatum,(Lam.) Kadereit & Schneew.,Taxon 75(2)-e70119: 23. 2026 [30 Mar 2026] ,,Rubiaceae Galium articulatum Lam.,(Lam.)
wfo-1000089626,urn:lsid:ipni.org:names:77378948-1,Trichogalium ascendens,(Willd. ex Spreng.) Kadereit & Schneew.,Taxon 75(2)-e70119: 23. 2026 [30 Mar 2026] ,,Rubiaceae Galium ascendens Willd. ex Spreng.,(Willd. ex Spreng.)
